Letter,L1,L2,L3,L4,L5,Total
s,81,7.0,21.0,38.0,164.0,311.0
t,56,21.0,34.0,50.0,55.0,216.0
f,39,3.0,4.0,3.0,5.0,54.0
a,37,91.0,86.0,33.0,2.0,249.0
c,36,6.0,10.0,39.0,5.0,96.0
l,34,35.0,32.0,49.0,27.0,177.0
p,34,17.0,17.0,12.0,6.0,86.0
w,33,7.0,3.0,11.0,4.0,58.0
b,32,3.0,4.0,2.0,0.0,41.0
m,30,7.0,13.0,11.0,5.0,66.0
d,26,6.0,19.0,24.0,52.0,127.0
h,25,45.0,1.0,9.0,30.0,110.0
g,21,2.0,23.0,8.0,13.0,67.0
e,20,65.0,55.0,118.0,101.0,359.0
r,18,64.0,42.0,42.0,35.0,201.0
n,14,18.0,30.0,56.0,26.0,144.0
o,12,91.0,58.0,14.0,4.0,179.0
u,10,29.0,35.0,13.0,0.0,87.0
i,9,62.0,74.0,29.0,0.0,174.0
v,9,4.0,15.0,11.0,0.0,39.0
k,6,1.0,7.0,20.0,19.0,53.0
q,6,1.0,0.0,0.0,0.0,7.0
j,4,0.0,2.0,0.0,0.0,6.0
y,3,7.0,3.0,2.0,41.0,56.0
