Word,L1,L2,L3,L4,L5
about,a,b,o,u,t
above,a,b,o,v,e
abuse,a,b,u,s,e
acted,a,c,t,e,d
added,a,d,d,e,d
admit,a,d,m,i,t
adopt,a,d,o,p,t
after,a,f,t,e,r
again,a,g,a,i,n
agree,a,g,r,e,e
ahead,a,h,e,a,d
aimed,a,i,m,e,d
alarm,a,l,a,r,m
album,a,l,b,u,m
alias,a,l,i,a,s
alive,a,l,i,v,e
allow,a,l,l,o,w
alone,a,l,o,n,e
along,a,l,o,n,g
alter,a,l,t,e,r
amuse,a,m,u,s,e
angle,a,n,g,l,e
angry,a,n,g,r,y
annoy,a,n,n,o,y
apart,a,p,a,r,t
apple,a,p,p,l,e
apply,a,p,p,l,y
areas,a,r,e,a,s
argue,a,r,g,u,e
arise,a,r,i,s,e
aside,a,s,i,d,e
asked,a,s,k,e,d
avoid,a,v,o,i,d
awake,a,w,a,k,e
award,a,w,a,r,d
aware,a,w,a,r,e
awful,a,w,f,u,l
backs,b,a,c,k,s
badly,b,a,d,l,y
based,b,a,s,e,d
bases,b,a,s,e,s
basic,b,a,s,i,c
basis,b,a,s,i,s
bears,b,e,a,r,s
began,b,e,g,a,n
begin,b,e,g,i,n
begun,b,e,g,u,n
being,b,e,i,n,g
below,b,e,l,o,w
binds,b,i,n,d,s
bites,b,i,t,e,s
black,b,l,a,c,k
blame,b,l,a,m,e
blank,b,l,a,n,k
block,b,l,o,c,k
board,b,o,a,r,d
books,b,o,o,k,s
borne,b,o,r,n,e
bound,b,o,u,n,d
boxes,b,o,x,e,s
brand,b,r,a,n,d
break,b,r,e,a,k
brief,b,r,i,e,f
bring,b,r,i,n,g
broke,b,r,o,k,e
brown,b,r,o,w,n
build,b,u,i,l,d
built,b,u,i,l,t
bytes,b,y,t,e,s
calls,c,a,l,l,s
cards,c,a,r,d,s
cares,c,a,r,e,s
carry,c,a,r,r,y
cases,c,a,s,e,s
catch,c,a,t,c,h
cause,c,a,u,s,e
cease,c,e,a,s,e
chain,c,h,a,i,n
chair,c,h,a,i,r
chaos,c,h,a,o,s
chars,c,h,a,r,s
cheap,c,h,e,a,p
check,c,h,e,c,k
child,c,h,i,l,d
chips,c,h,i,p,s
chose,c,h,o,s,e
claim,c,l,a,i,m
class,c,l,a,s,s
clean,c,l,e,a,n
clear,c,l,e,a,r
clock,c,l,o,c,k
close,c,l,o,s,e
coded,c,o,d,e,d
codes,c,o,d,e,s
comes,c,o,m,e,s
costs,c,o,s,t,s
could,c,o,u,l,d
count,c,o,u,n,t
court,c,o,u,r,t
cover,c,o,v,e,r
crash,c,r,a,s,h
crazy,c,r,a,z,y
crisp,c,r,i,s,p
cross,c,r,o,s,s
cycle,c,y,c,l,e
daily,d,a,i,l,y
dated,d,a,t,e,d
dates,d,a,t,e,s
datum,d,a,t,u,m
deals,d,e,a,l,s
dealt,d,e,a,l,t
death,d,e,a,t,h
deems,d,e,e,m,s
delay,d,e,l,a,y
depth,d,e,p,t,h
digit,d,i,g,i,t
dirty,d,i,r,t,y
discs,d,i,s,c,s
ditto,d,i,t,t,o
doing,d,o,i,n,g
doors,d,o,o,r,s
doubt,d,o,u,b,t
dozen,d,o,z,e,n
drawn,d,r,a,w,n
draws,d,r,a,w,s
dream,d,r,e,a,m
drink,d,r,i,n,k
drive,d,r,i,v,e
drops,d,r,o,p,s
drove,d,r,o,v,e
dying,d,y,i,n,g
early,e,a,r,l,y
earth,e,a,r,t,h
eaten,e,a,t,e,n
edits,e,d,i,t,s
eight,e,i,g,h,t
elect,e,l,e,c,t
empty,e,m,p,t,y
ended,e,n,d,e,d
enemy,e,n,e,m,y
enjoy,e,n,j,o,y
enter,e,n,t,e,r
entry,e,n,t,r,y
equal,e,q,u,a,l
error,e,r,r,o,r
evens,e,v,e,n,s
event,e,v,e,n,t
every,e,v,e,r,y
exact,e,x,a,c,t
exist,e,x,i,s,t
extra,e,x,t,r,a
facts,f,a,c,t,s
fails,f,a,i,l,s
faith,f,a,i,t,h
falls,f,a,l,l,s
false,f,a,l,s,e
fancy,f,a,n,c,y
fatal,f,a,t,a,l
fault,f,a,u,l,t
feeds,f,e,e,d,s
feels,f,e,e,l,s
fewer,f,e,w,e,r
field,f,i,e,l,d
fight,f,i,g,h,t
filed,f,i,l,e,d
files,f,i,l,e,s
fills,f,i,l,l,s
final,f,i,n,a,l
